model,score,CSA,tau,val_accept,AUROC_near,AUROC_near_CI,AUROC_far,AUROC_far_CI,AUROC_all,AUROC_all_CI,test_accept,test_accept_CI,reject_near,reject_near_CI,reject_far,reject_far_CI,reject_all,reject_all_CI,FPR95_near,FPR95_far,FPR95_all
vanilla,MLS,94.4000,-5.7756,95.0000,79.1089,"[77.29, 80.83]",90.1422,"[88.95, 91.26]",84.6255,"[83.50, 85.70]",95.3200,"[94.89, 95.72]",30.0000,"[26.9, 33.3]",54.8750,"[51.4, 58.3]",42.4375,"[40.0, 44.9]",70.0000,45.1250,57.5625
gcsc,MLS,95.1400,-6.0101,95.0000,80.5409,"[78.95, 82.24]",90.8451,"[89.74, 91.85]",85.6930,"[84.71, 86.72]",95.3500,"[94.92, 95.75]",34.8750,"[31.7, 38.2]",55.3750,"[51.9, 58.8]",45.1250,"[42.7, 47.6]",65.1250,44.6250,54.8750
proser,MLS,94.2600,-3.5772,95.0000,79.3693,"[77.66, 81.01]",88.9027,"[87.73, 90.01]",84.1360,"[83.07, 85.22]",95.3400,"[94.91, 95.74]",25.2500,"[22.4, 28.4]",47.8750,"[44.4, 51.3]",36.5625,"[34.2, 39.0]",74.7500,52.1250,63.4375
proser,PROSER-detect,94.2600,0.0000,95.0000,78.6173,"[76.82, 80.34]",87.7363,"[86.42, 88.98]",83.1768,"[82.02, 84.32]",95.3300,"[94.90, 95.73]",24.6250,"[21.8, 27.7]",43.7500,"[40.4, 47.2]",34.1875,"[31.9, 36.5]",75.3750,56.2500,65.8125
