model,score,CSA,tau,val_accept,AUROC_near,AUROC_near_CI,AUROC_far,AUROC_far_CI,AUROC_all,AUROC_all_CI,test_accept,test_accept_CI,reject_near,reject_near_CI,reject_far,reject_far_CI,reject_all,reject_all_CI,FPR95_near,FPR95_far,FPR95_all
vanilla,MSP,94.4000,0.1803,95.0000,80.9629,"[79.35, 82.50]",90.2478,"[89.30, 91.17]",85.6053,"[84.61, 86.55]",95.1700,"[94.73, 95.57]",25.6250,"[22.7, 28.8]",42.2500,"[38.9, 45.7]",33.9375,"[31.7, 36.3]",74.3750,57.7500,66.0625
vanilla,MLS,94.4000,-5.7756,95.0000,79.1089,"[77.29, 80.83]",90.1422,"[88.95, 91.26]",84.6255,"[83.50, 85.70]",95.3200,"[94.89, 95.72]",30.0000,"[26.9, 33.3]",54.8750,"[51.4, 58.3]",42.4375,"[40.0, 44.9]",70.0000,45.1250,57.5625
vanilla,Energy,94.4000,-5.9674,95.0000,79.1332,"[77.32, 80.86]",90.2468,"[89.05, 91.38]",84.6900,"[83.56, 85.76]",95.4200,"[94.99, 95.81]",30.1250,"[27.0, 33.4]",55.6250,"[52.2, 59.0]",42.8750,"[40.5, 45.3]",69.8750,44.3750,57.1250
vanilla,Mahalanobis,94.4000,3058.2530,95.0000,79.5732,"[77.87, 81.23]",92.1818,"[91.38, 92.91]",85.8775,"[84.91, 86.85]",95.1100,"[94.67, 95.52]",26.5000,"[23.6, 29.7]",50.8750,"[47.4, 54.3]",38.6875,"[36.3, 41.1]",73.5000,49.1250,61.3125
