run,seed 6304 F1,seed 6304 verdict,seed 6305 F1,seed 6305 verdict,same
dan_lambda10,5.07,COLLAPSED,5.07,COLLAPSED,yes
dan_dg,5.07,COLLAPSED,5.07,COLLAPSED,yes
