,source_only,dan,dann,cdan
dog,53.23834196891192,43.523316062176164,33.67875647668394,5.829015544041451
elephant,89.32432432432432,54.054054054054056,18.64864864864865,100.0
giraffe,45.28552456839309,61.62018592297477,58.16733067729084,34.528552456839314
guitar,83.38815789473685,78.61842105263158,0.8223684210526315,85.85526315789474
horse,77.45098039215686,61.76470588235294,22.54901960784314,74.75490196078431
house,87.5,100.0,12.5,87.5
person,70.0,25.0,2.5,31.874999999999996
