method,best_epoch,photo_acc,photo_f1,art_painting_acc,art_painting_f1,cartoon_acc,cartoon_f1,mean_src_acc,mean_src_f1,target_acc,target_f1,domain_sep,delta_target_acc
source_only,15,97.30538922155688,96.78195844914444,90.73170731707317,90.73655037104955,94.45628997867804,94.8985493016095,94.16446217243605,94.1390193739345,69.58513616696361,72.4123212871777,99.86263736263736,0.0
dan,10,96.10778443113772,95.65926957206962,92.92682926829269,93.05386005946978,95.94882729211088,96.3424755722827,94.99448033051375,95.0185350679407,58.589972003054214,55.161693719664825,82.28021978021978,-10.995164163909394
dann,18,52.09580838323353,41.107239871052464,29.268292682926827,26.82584146012954,46.695095948827294,37.1733139195382,42.686399004995884,35.0354650835734,26.444387884958005,18.91409748136675,98.07692307692307,-43.1407482820056
cdan,1,94.01197604790418,92.91878372196709,82.68292682926828,83.09445153763484,88.69936034115139,90.23080916846641,88.46475440610796,88.7480148093561,58.48816492746246,58.74327213166997,99.45054945054946,-11.096971239501144
