setting,method,best_epoch,photo_acc,photo_f1,art_painting_acc,art_painting_f1,cartoon_acc,cartoon_f1,mean_src_acc,mean_src_f1,target_acc,target_f1,domain_sep
alpha_max=0.25,dann_alpha0.25,1,94.61077844311377,93.56710754644537,81.46341463414633,82.34932095410927,89.12579957356077,90.34405020272631,88.39999755027362,88.75349290109365,52.30338508526342,52.69546332662759,99.72527472527473
alpha_max=0.5,dann_alpha0.5,1,70.05988023952095,61.12328955383901,51.21951219512195,40.64205159399917,30.49040511727079,32.44106314457299,50.58993251730456,44.73546809747038,15.474675489946552,3.8288359205264646,100.0
alpha_max=1,dann,18,52.09580838323353,41.107239871052464,29.268292682926827,26.82584146012954,46.695095948827294,37.1733139195382,42.686399004995884,35.0354650835734,26.444387884958005,18.91409748136675,98.07692307692307
