setting,method,photo_acc,photo_f1,art_painting_acc,art_painting_f1,cartoon_acc,cartoon_f1,mean_acc,mean_f1,worst_acc,worst_f1,src_domain_sep,sharpness,val_batch_loss,grad_norm,sketch_acc,sketch_f1,delta_sketch_acc_vs_dan_dg
lambda=0.1,dan_dg_lambda0.1,97.30538922155688,96.74519819273296,92.92682926829268,93.3153769535612,95.3091684434968,95.70495546395362,95.18046231111543,95.2551768700826,92.92682926829268,93.3153769535612,79.06976744186046,0.1735667288303375,0.1189073100686073,4.007129669189453,68.15983710867906,71.11901891433413,64.08755408500892
lambda=1,dan_dg,25.74850299401197,5.850340136054422,21.951219512195124,5.142857142857142,17.270788912579956,4.207792207792208,21.656837139595684,5.066996495567924,17.270788912579956,4.207792207792208,48.50498338870432,0.0398868322372436,1.934421181678772,2.705827474594116,4.0722830236701455,1.1179820424134437,0.0
lambda=10,dan_dg_lambda10,25.74850299401197,5.850340136054422,21.951219512195124,5.142857142857142,17.270788912579956,4.207792207792208,21.656837139595684,5.066996495567924,17.270788912579956,4.207792207792208,45.84717607973422,0.0066540241241455,1.932524800300598,0.4587348699569702,4.0722830236701455,1.1179820424134437,0.0
