,erm,dan_dg,sam
dog,53.23834196891192,0.0,61.269430051813465
elephant,89.32432432432432,0.0,90.67567567567568
giraffe,45.28552456839309,0.0,47.54316069057105
guitar,83.38815789473685,0.0,89.80263157894737
horse,77.45098039215686,0.0,56.495098039215684
house,87.5,0.0,75.0
person,70.0,100.0,66.25
