,ERM (shared),"DAN (Task 2, sees Sketch)","DAN-DG (Task 3, no Sketch)",SAM (Task 3)
dog,53.23834196891192,43.52331606217616,0.0,61.269430051813465
elephant,89.32432432432432,54.054054054054056,0.0,90.67567567567568
giraffe,45.28552456839309,61.62018592297477,0.0,47.54316069057105
guitar,83.38815789473685,78.61842105263158,0.0,89.80263157894737
horse,77.45098039215686,61.76470588235294,0.0,56.495098039215684
house,87.5,100.0,0.0,75.0
person,70.0,25.0,100.0,66.25
