method,photo_acc,photo_f1,art_painting_acc,art_painting_f1,cartoon_acc,cartoon_f1,mean_acc,mean_f1,worst_acc,worst_f1,src_domain_sep,sharpness,val_batch_loss,grad_norm,sketch_acc,sketch_f1,delta_sketch_acc_vs_erm
erm,97.30538922155688,96.78195844914444,90.73170731707316,90.73655037104956,94.45628997867804,94.8985493016095,94.16446217243605,94.1390193739345,90.73170731707316,90.73655037104956,87.70764119601328,0.2855584621429443,0.1919827461242675,5.767005443572998,69.58513616696361,72.4123212871777,0.0
dan_dg,25.74850299401197,5.850340136054422,21.951219512195124,5.142857142857142,17.270788912579956,4.207792207792208,21.656837139595684,5.066996495567924,17.270788912579956,4.207792207792208,48.50498338870432,0.0398868322372436,1.934421181678772,2.705827474594116,4.0722830236701455,1.1179820424134437,-65.51285314329346
sam,98.50299401197606,98.1811020679226,91.21951219512196,90.97930154201303,95.73560767590618,96.0769180738285,95.15270462766809,95.07910722792138,91.21951219512196,90.97930154201303,87.37541528239203,0.1097148209810257,0.0925941467285156,2.136418104171753,68.08348180198523,72.25484289427499,-1.5016543649783785
