run,ckpt_epoch,mean_f1,top_pred,top_pred_share,feat_norm,class_probe,domain_sep,mmd_biased_8v8,mmd_unbiased_8v8,floor_biased_8v8
erm,15,94.1390193739345,person,20.032976092333058,69.64958190917969,93.82601147604503,87.70764119601328,0.6287990089257558,0.19717769742012023,0.4332469234863917
sam,11,95.07910722792138,person,21.434460016488046,43.20337677001953,94.52712622957947,87.37541528239203,0.6004651774962743,0.16445269485314687,0.4410982433954875
dan_dg_lambda0.1,6,95.2551768700826,person,20.362737015663644,31.843015670776367,93.98379912479056,79.06976744186046,0.4767821737130483,0.028502535820007325,0.4457553513844808
dan_dg,1,5.066996495567924,person,100.0,1.7739403247833252,28.519359549832686,48.50498338870432,0.483050350745519,0.03324303110440572,0.44984612226486204
dan_dg_lambda10,3,5.066996495567924,person,100.0,2.388894557952881,25.10919708356823,45.84717607973422,0.7288262381156285,0.3303734475374222,0.40808809200922647
diag_dan_dg_unbiased,5,93.71768029018638,person,22.423742786479803,47.59693908691406,93.83798543839787,71.42857142857143,0.5005887305736542,0.025841461022694905,0.47145039538542427
