,source_only,dan,dann,cdan
dog,9.455958549222798,33.54922279792746,1.0362694300518136,0.6476683937823834
elephant,86.08108108108108,70.67567567567568,99.32432432432432,4.72972972972973
giraffe,65.86985391766268,65.60424966799468,30.54448871181939,15.803452855245684
guitar,80.26315789473685,72.69736842105263,74.67105263157895,73.35526315789474
horse,81.00490196078431,52.20588235294118,20.955882352941178,3.1862745098039214
house,96.25,100.0,67.5,2.5
person,84.375,5.0,41.25,100.0
