setting,method,best_epoch,photo_acc,photo_f1,art_painting_acc,art_painting_f1,cartoon_acc,cartoon_f1,mean_src_acc,mean_src_f1,target_acc,target_f1,domain_sep
lambda=0.1,dan_lambda0.1,11,95.50898203592814,94.89926487710676,91.70731707317074,92.0206149046151,94.88272921108742,95.12332890801297,94.03300944006212,94.01440289657829,70.19597862051413,64.67828545976202,91.48351648351648
lambda=1,dan,13,97.60479041916167,97.181480606027,88.78048780487805,88.9773660673769,94.45628997867804,94.94199355775362,93.6138560675726,93.70028007705251,56.80834818019852,52.59697911580534,87.22527472527473
lambda=10,dan_lambda10,1,25.748502994011975,5.850340136054422,21.951219512195124,5.142857142857142,17.270788912579956,4.207792207792208,21.656837139595684,5.066996495567924,4.0722830236701455,1.1179820424134437,69.91758241758241
