method,best_epoch,photo_acc,photo_f1,art_painting_acc,art_painting_f1,cartoon_acc,cartoon_f1,mean_src_acc,mean_src_f1,target_acc,target_f1,domain_sep,delta_target_acc
source_only,10,95.80838323353294,95.1573497046958,91.46341463414635,91.51908323001751,94.45628997867804,94.96111096454845,93.90936261545244,93.87918129975394,65.33469076100789,63.70093376728365,99.86263736263736,0.0
dan,13,97.60479041916167,97.181480606027,88.78048780487805,88.9773660673769,94.45628997867804,94.94199355775362,93.6138560675726,93.70028007705251,56.80834818019852,52.59697911580534,87.22527472527473,-8.52634258080937
dann,4,86.82634730538922,84.94966378233805,68.78048780487805,64.95639798123352,82.94243070362474,82.63495509394689,79.51642193796401,77.51367228583949,43.72613896665818,44.3096241206056,99.86263736263736,-21.608551794349708
cdan,8,96.7065868263473,96.13286843271288,90.48780487804878,90.43145168174314,93.17697228144989,93.61932836696182,93.45712132861532,93.39454949380594,20.183252736065157,20.28829609416156,98.9010989010989,-45.151438024942735
