setting,method,best_epoch,photo_acc,photo_f1,art_painting_acc,art_painting_f1,cartoon_acc,cartoon_f1,mean_src_acc,mean_src_f1,target_acc,target_f1,domain_sep
lambda=0.1,dan_lambda0.1,8,97.90419161676647,97.46838268086239,89.51219512195122,89.50952591351616,94.02985074626866,94.7312552147514,93.81541249499544,93.90305460304332,67.01450750827182,63.496785428625024,97.25274725274726
lambda=1,dan,10,96.10778443113772,95.65926957206962,92.92682926829269,93.05386005946978,95.94882729211088,96.3424755722827,94.99448033051375,95.0185350679407,58.589972003054214,55.161693719664825,82.28021978021978
lambda=10,dan_lambda10,1,25.748502994011975,5.850340136054422,21.951219512195124,5.142857142857142,17.270788912579956,4.207792207792208,21.656837139595684,5.066996495567924,4.0722830236701455,1.1179820424134437,68.26923076923077
