model,score,status,CSA,tau,val_accept,AUROC_near,AUROC_near_CI,AUROC_far,AUROC_far_CI,AUROC_all,AUROC_all_CI,test_accept,test_accept_CI,reject_near,reject_near_CI,reject_far,reject_far_CI,reject_all,reject_all_CI,FPR95_near,FPR95_far,FPR95_all
vanilla,MLS,pre-registered,94.4000,-5.7756,95.0000,79.1089,"[77.29, 80.83]",90.1422,"[88.95, 91.26]",84.6255,"[83.50, 85.70]",95.3200,"[94.89, 95.72]",30.0000,"[26.9, 33.3]",54.8750,"[51.4, 58.3]",42.4375,"[40.0, 44.9]",70.0000,45.1250,57.5625
proser,MLS,pre-registered,94.2600,-3.5772,95.0000,79.3693,"[77.66, 81.01]",88.9027,"[87.73, 90.01]",84.1360,"[83.07, 85.22]",95.3400,"[94.91, 95.74]",25.2500,"[22.4, 28.4]",47.8750,"[44.4, 51.3]",36.5625,"[34.2, 39.0]",74.7500,52.1250,63.4375
proser,PROSER-detect,pre-registered,94.2600,0.0000,95.0000,78.6173,"[76.82, 80.34]",87.7363,"[86.42, 88.98]",83.1768,"[82.02, 84.32]",95.3300,"[94.90, 95.73]",24.6250,"[21.8, 27.7]",43.7500,"[40.4, 47.2]",34.1875,"[31.9, 36.5]",75.3750,56.2500,65.8125
proser_bncal,MLS,POST-HOC,94.5700,-5.8899,95.0000,77.9518,"[76.09, 79.88]",91.5968,"[90.55, 92.54]",84.7743,"[83.67, 85.90]",95.4800,"[95.06, 95.87]",27.5000,"[24.5, 30.7]",54.5000,"[51.0, 57.9]",41.0000,"[38.6, 43.4]",72.5000,45.5000,59.0000
proser_bncal,PROSER-detect,POST-HOC,94.5700,-0.0001,95.0000,78.4844,"[76.66, 80.32]",91.2484,"[90.24, 92.15]",84.8664,"[83.79, 85.94]",95.3900,"[94.96, 95.78]",25.5000,"[22.6, 28.6]",51.0000,"[47.5, 54.5]",38.2500,"[35.9, 40.7]",74.5000,49.0000,61.7500
