run,epoch,step,time_s,loss_cls,loss_dom,loss_gen,disc_acc,alpha,feat_norm,grad_norm,loss_total,val_photo_acc,val_photo_macro_f1,val_art_painting_acc,val_art_painting_macro_f1,val_cartoon_acc,val_cartoon_macro_f1,val_mean_acc,val_mean_macro_f1,val_worst_acc,val_worst_macro_f1
cdan_confusion,1,202,36.74816060066223,0.5407716682051668,0.38393910280843774,1.1167558195567366,0.8703589300708016,0.08254158791929188,35.19135580912675,11.839648275092097,0.6329152215162378,96.7065868263473,96.11736210898681,86.58536585365853,86.90343997715702,87.20682302771856,88.54525312894978,90.16625856924146,90.52201840503119,86.58536585365853,86.90343997715702
cdan_confusion,2,404,35.54732584953308,0.2894423335495562,0.40891990168850023,1.1042054655528304,0.8793317035283192,0.24399999285688495,29.2560449637989,7.920410443060469,0.560164824081242,95.20958083832335,94.37483784378419,87.8048780487805,88.02732164995355,91.04477611940298,90.85444348341761,91.35307833550227,91.08553432571846,87.8048780487805,88.02732164995355
cdan_confusion,3,606,35.32899069786072,0.2642181262300156,0.49124564377978297,1.0950805031427062,0.7617574469877941,0.3930015316103945,30.84911830826561,8.001476095454528,0.6925473939996869,94.01197604790418,93.53391285290058,89.02439024390245,88.98021863160412,93.17697228144989,93.59764583176515,92.07111285775217,92.03725910542329,89.02439024390245,88.98021863160412
cdan_confusion,4,808,35.58940863609314,0.2642833725134335,0.5053086595074965,0.9960542716602288,0.7617574443321417,0.5239063041044933,27.637158148359543,7.107252792556687,0.7857497825657507,96.10778443113772,95.67994009873006,91.21951219512195,91.15953645505327,94.24307036247335,94.75895030047147,93.85678899624435,93.8661422847516,91.21951219512195,91.15953645505327
cdan_confusion,5,1010,35.78865838050842,0.2581450322476944,0.5125763842670044,0.9306490282611092,0.7517533196081029,0.6340265055694202,28.18479907158578,7.174325574742685,0.8477643838650314,95.80838323353294,94.91598422243607,84.39024390243902,83.96258360378884,91.89765458422174,91.91695563957316,90.6987605733979,90.26517448859936,84.39024390243902,83.96258360378884
cdan_confusion,6,1212,35.439791202545166,0.2632182161554252,0.5326480005342181,0.8921024651810674,0.7267945737826942,0.7233237205165448,23.909838978606874,6.519794251659129,0.9081049272382247,95.20958083832335,94.66770210879713,88.29268292682927,88.03412714774018,93.17697228144989,93.13244654580977,92.22641201553417,91.94475860078235,88.29268292682927,88.03412714774018
cdan_confusion,7,1414,35.27915358543396,0.27020278230014416,0.5218198005810822,0.8848248014945795,0.7398927577651373,0.7936011676741118,22.74790028770371,6.541750304769762,0.9721792489501193,97.0059880239521,96.6002305861268,89.51219512195122,89.39955627012678,94.24307036247335,94.75435403139424,93.58708450279222,93.58471362921595,89.51219512195122,89.39955627012678
cdan_confusion,8,1616,35.3650860786438,0.24463722010207647,0.5330248978173379,0.8485828983311606,0.7254538159854341,0.8476168725750234,21.975143682838667,5.947449623948277,0.9637409917023565,95.50898203592814,95.20439699216297,89.02439024390245,89.3721988334904,94.66950959488273,95.016655888644,93.0676272915711,93.19775057143245,89.02439024390245,89.3721988334904
cdan_confusion,9,1818,35.54518365859985,0.24157245955107234,0.5479393226675467,0.8293006296205049,0.7141089288905116,0.8883825806107851,21.689669585464024,6.124168916503982,0.9782055489485866,97.0059880239521,96.69586842582623,89.75609756097562,89.26038957031214,93.39019189765459,93.29962435009604,93.38409249419409,93.08529411541149,89.75609756097562,89.26038957031214
dann_confusion,1,202,37.22784113883972,0.5448048562917969,0.43462620712447875,0.9346281992326869,0.8244637166804606,0.08254158791929188,39.12672916261276,12.550427269227434,0.6209583569151083,93.41317365269461,92.0412156790803,82.4390243902439,82.70100577366641,88.4861407249467,89.70422712273262,88.11277958929507,88.14881619182644,82.4390243902439,82.70100577366641
dann_confusion,2,404,35.12872672080994,0.25552573282788,0.505207554391115,0.8852147008522903,0.7738242757202375,0.24399999285688495,62.897372595154415,12.030231541926318,0.4705489431225116,95.80838323353294,95.0050811389744,90.2439024390244,89.8238907786431,91.89765458422174,92.36473030624602,92.64998008559303,92.39790074128784,90.2439024390244,89.8238907786431
dann_confusion,3,606,35.784443616867065,0.20019947196181753,0.5197318079743055,0.8183542218538794,0.7592821982827517,0.3930015316103945,63.34336866246592,10.960373163223267,0.5215669404361043,95.20958083832335,94.4672598683625,86.34146341463415,85.96337648675497,91.47121535181236,90.4153804622302,91.0074198682566,90.28200560578256,86.34146341463415,85.96337648675497
dann_confusion,4,808,35.329562187194824,0.1442735295415404,0.5454742700451671,0.7933943667034111,0.7322607457932859,0.5239063041044933,64.40048474604541,10.339144496634455,0.560049219492877,95.80838323353294,95.09524952022565,89.51219512195122,89.04742927763756,92.53731343283582,92.39429593838929,92.61929726277333,92.17899157875082,89.51219512195122,89.04742927763756
dann_confusion,5,1010,35.57181930541992,0.11323731985302771,0.5701237521549263,0.7722091367929289,0.7169967208168294,0.6340265055694202,68.99886303136844,10.564393470783045,0.6028963566225566,93.41317365269461,92.51389258115552,87.8048780487805,87.46452184489561,91.25799573560768,91.46453403952208,90.82534914569426,90.48098282185772,87.8048780487805,87.46452184489561
dann_confusion,6,1212,35.32856893539429,0.09150642980959746,0.5709737881575481,0.7641688682655297,0.7233911103541308,0.7233237205165448,75.73810983412336,9.924836911777458,0.6440906502811723,97.30538922155688,96.99247289410991,91.21951219512195,90.88237737142911,92.96375266524521,93.3062433167135,93.82955136064135,93.72703119408418,91.21951219512195,90.88237737142911
dann_confusion,7,1414,35.20317220687866,0.08988336716677145,0.5593472393137393,0.7628965230271367,0.7328795584121554,0.7936011676741118,70.66479758460923,9.442668194818024,0.6953734066830183,96.10778443113772,95.48108503095716,89.75609756097562,90.2126540577681,94.66950959488273,94.70417522386849,93.51113052899869,93.46597143753125,89.75609756097562,90.2126540577681
dann_confusion,8,1616,35.15543603897095,0.06994045475534726,0.5420495875106,0.7706225319664077,0.7544348372681307,0.8476168725750234,114.76729617732586,12.84028678129215,0.72305854928995,94.91017964071857,94.98485735499285,88.78048780487805,88.99241886939005,92.75053304904051,93.16164163857097,92.1470668315457,92.37963928765129,88.78048780487805,88.99241886939005
dann_confusion,9,1818,35.33762860298157,0.060167830474305864,0.5720029579530849,0.7538807666537786,0.7202970500629727,0.8883825806107851,93.14847030261956,11.463595937974382,0.7298146516640008,94.91017964071857,94.28847375043942,87.3170731707317,86.62356238057481,91.47121535181236,91.66547896581272,91.23282272108754,90.85917169894232,87.3170731707317,86.62356238057481
dann_confusion,10,2020,35.51064372062683,0.10897569758771448,0.5192661375397503,0.8287440753809296,0.7228754308849278,0.918726115533621,55.69482214143961,7.8897779979328115,0.8706645166594573,97.30538922155688,96.92991155727728,88.04878048780488,88.14418771199024,92.75053304904051,93.09074138818804,92.70156758613409,92.72161355248518,88.04878048780488,88.14418771199024
dann_confusion,11,2222,35.2559232711792,0.0696197540780511,0.5744227638634125,0.7834875639712456,0.6947194908810134,0.9410801642011888,102.8957447203079,14.02489453023023,0.8068171461438247,94.61077844311377,94.62478138106337,86.34146341463415,86.39313007849024,92.75053304904051,93.07972387794177,91.23425830226283,91.3658784458318,86.34146341463415,86.39313007849024
dann_flip,1,202,37.07692527770996,0.5377964304926077,0.8734382550315102,0.909580650305984,0.5248556234458885,0.08254158791929188,54.417911623964216,17.691028712999703,0.6012478762632463,93.7125748502994,92.53681547656505,88.78048780487805,88.50429511037096,89.12579957356077,89.48890112155419,90.53962074291275,90.17667056949672,88.78048780487805,88.50429511037096
dann_flip,2,404,34.1761634349823,0.23685496412494247,1.895716660683698,0.4376422053221429,0.19358498880658115,0.24399999285688495,120.69177219655253,32.39660537833034,0.34335681152569514,94.311377245509,93.52758200083997,86.82926829268293,85.8195583862176,87.20682302771856,87.91696522490987,89.44915618863682,89.08803520398914,86.82926829268293,85.8195583862176
dann_flip,3,606,34.92642784118652,0.23113092523768985,1.2779121295650406,0.49215482131089316,0.19410066591520417,0.3930015316103945,152.48049243133846,25.326515259128985,0.4246139021339227,93.41317365269461,92.83643991207016,87.07317073170732,87.07304731172539,90.8315565031983,91.4167239449597,90.43930029586674,90.44207038958508,87.07317073170732,87.07304731172539
dann_flip,4,808,35.860039949417114,0.17925295225427587,1.405139289575048,0.5091078614834512,0.24463697054451056,0.5239063041044933,230.43693648234452,35.24415944826485,0.4442660611302806,89.82035928143712,87.8769335752022,88.78048780487805,89.35697570815643,89.33901918976545,89.95616500020904,89.31328875869355,89.06335809452257,88.78048780487805,87.8769335752022
dann_flip,5,1010,35.71846032142639,0.17262005969123584,1.489634234421324,0.46979591220912365,0.19110974184431062,0.6340265055694202,354.66756458093624,39.278353214263916,0.4701403499381683,94.61077844311377,94.1357946687447,85.85365853658537,85.58569753542898,90.6183368869936,91.37355586553154,90.36092462223091,90.36501602323507,85.85365853658537,85.58569753542898
dann_flip,6,1212,35.76432752609253,0.15228739903127778,1.1188700148964872,0.5336606393356135,0.24989687199566032,0.7233237205165448,473.47000582855526,33.99743873766153,0.5379703505640993,91.31736526946108,89.7893143354421,89.75609756097562,89.01862378152006,90.6183368869936,90.85453609130948,90.56393323914342,89.88749140275722,89.75609756097562,89.01862378152006
dann_flip,7,1414,35.647746562957764,0.19831466328267394,0.9944793006571213,0.5886024857806688,0.28042492554476944,0.7936011676741118,316.89441756446763,28.74216564102928,0.6660056479049277,94.311377245509,93.28113459322475,87.8048780487805,88.09437301733414,93.39019189765459,93.80034556325843,91.83548239731469,91.72528439127244,87.8048780487805,88.09437301733414
dann_flip,8,1616,35.31700587272644,0.1324333674057547,1.031357370095678,0.5680058054109611,0.3036303712737442,0.8476168725750234,382.6352857835222,33.60889607136792,0.6137966725925985,96.10778443113772,95.53100534283166,85.85365853658537,85.7416214926678,91.89765458422174,92.65909888032982,91.28636585064828,91.31057523860977,85.85365853658537,85.7416214926678
dann_flip,9,1818,35.49948763847351,0.12426962171240921,1.0191021809483518,0.5922494120527022,0.3264232765108642,0.8883825806107851,471.36861004215655,32.918340258079,0.6506217514673874,97.0059880239521,96.4426600276832,85.85365853658537,85.18122167989421,93.81663113006397,93.86414240251185,92.22542589686714,91.82934137002975,85.85365853658537,85.18122167989421
dann_flip,10,2020,35.45392060279846,0.15154085385536673,0.9313428168839747,0.6083617961347694,0.3262170055364766,0.918726115533621,449.0683711590153,28.985048622188003,0.7106083419627891,91.01796407185628,89.91531215861761,88.78048780487805,89.21666831743683,87.20682302771856,87.50506651531094,89.0017583014843,88.87901566378845,87.20682302771856,87.50506651531094
dann_flip,11,2222,35.318928956985474,0.16234411404232985,0.946767531999267,0.6094979276456455,0.33807756796036614,0.9410801642011888,404.7998193419806,30.197598091446526,0.7359096116558045,95.50898203592814,95.00064545753527,89.51219512195122,89.91722217273511,94.02985074626866,94.73144019121321,93.01700930138269,93.21643594049453,89.51219512195122,89.91722217273511
dann_flip,12,2424,35.52040886878967,0.11855960215761305,0.9187593283039508,0.6136822517555539,0.3471534760060287,0.9574234149243572,353.50072112886033,26.1398077294378,0.7060641575788166,95.20958083832335,94.46324686281639,86.09756097560975,85.81963922641204,93.17697228144989,93.46334208914809,91.494704698461,91.24874272612551,86.09756097560975,85.81963922641204
dann_flip,13,2626,35.652822494506836,0.10116591506070252,0.8859543239716257,0.6237672235410993,0.35437294728316293,0.969305666956571,733.5624911619885,38.32118494439833,0.705840551035879,94.311377245509,93.1450629376728,87.3170731707317,86.84142573335707,94.24307036247335,94.8976265579766,91.95717359290468,91.62803840966882,87.3170731707317,86.84142573335707
dann_flip,14,2828,35.58012008666992,0.14328601405064223,0.8420817173353516,0.6423279879116776,0.3817038063218098,0.9779095803156937,461.86862885125794,27.202604035339732,0.7714136884758709,95.80838323353294,94.97089994043073,86.58536585365853,86.15918815339153,93.60341151385929,94.08601646466076,91.99905353368358,91.73870151949434,86.58536585365853,86.15918815339153
dann_flip,15,3030,35.25464916229248,0.12005894702772343,0.8079726247504206,0.6547448629199868,0.39851486387819346,0.9841213562701008,493.099367122839,24.851402489265592,0.7644186263342302,96.10778443113772,95.28757231157145,88.04878048780488,87.7719029760246,90.8315565031983,91.2703668040022,91.66270714071364,91.44328069719943,88.04878048780488,87.7719029760246
dann_flip,16,3232,35.333653688430786,0.09454138034918809,0.9483626647160786,0.5987793447652666,0.3244637066479957,0.9885965526694118,1193.8203135575397,43.733438619292606,0.6865105615087341,95.20958083832335,94.27270205778632,88.78048780487805,89.28595963193332,90.8315565031983,91.361212573139,91.60720838213324,91.63995808761956,88.78048780487805,89.28595963193332
dann_l2norm,1,202,36.46462082862854,0.5492728642455422,0.7030248338043099,,0.5782797180558785,0.08254158791929188,50.54088042042043,13.28209932251732,1.2522976991563741,93.11377245508982,91.62515523052988,82.68292682926828,81.75875328239923,86.78038379530916,87.96075018750773,87.52569435988909,87.11488623347896,82.68292682926828,81.75875328239923
dann_l2norm,2,404,35.16381812095642,0.2703097661851103,0.8260712434749792,,0.3374587550279823,0.24399999285688495,60.195439027087524,11.08821449893536,1.096381009510248,95.20958083832335,94.28465204981839,79.75609756097562,78.9604942714717,90.19189765458422,90.64190731596142,88.38585868462773,87.96235121241716,79.75609756097562,78.9604942714717
